Aaliyah (np) 	Aaliyah (np.ant) 
Jordan (np) 	Jordan (np.ant) 
Jordi (np) 	Jordi (np.ant) 
Jorge (np) 	Jorge (np.ant) 
Jorja (np) 	Jorja (np.ant) 
Josep_Antoni (np) 	Josep_Antoni (np.ant) 
Joseph (np) 	Joseph (np.ant) 
Josep (np) 	Josep (np.ant) 
Josh (np) 	Josh (np.ant) 
Joshua (np) 	Joshua (np.ant) 
Joyce (np) 	Joyce (np.ant) 
Jude (np) 	Jude (np.ant) 
Judith (np) 	Judith (np.ant) 
Judit (np) 	Judit (np.ant) 
Julian (np) 	Julian (np.ant) 
Julia (np) 	Julia (np.ant) 
Júlia (np) 	Júlia (np.ant) 
Juli (np) 	Juli (np.ant) 
Julyan (np) 	Julyan (np.ant) 
Justin (np) 	Justin (np.ant) 
jwg	jug (n) 
Kabul	Kabul (np.top) 
Kacey (np) 	Kacey (np.ant) 
Kacie (np) 	Kacie (np.ant) 
Kaden (np) 	Kaden (np.ant) 
Kady (np) 	Kady (np.ant) 
Kaiden (np) 	Kaiden (np.ant) 
Kai (np) 	Kai (np.ant) 
Kaitlin (np) 	Kaitlin (np.ant) 
Kaitlyn (np) 	Kaitlyn (np.ant) 
Kane (np) 	Kane (np.ant) 
Kansas	Kansas (np.top) 
Kara (np) 	Kara (np.ant) 
Karis (np) 	Karis (np.ant) 
Karla (np) 	Karla (np.ant) 
Karlsruhe	Karlsruhe (np.top) 
Kasey (np) 	Kasey (np.ant) 
Katelyn (np) 	Katelyn (np.ant) 
Kate (np) 	Kate (np.ant) 
Kateryn (np) 	Kateryn (np.ant) 
Katherine (np) 	Katherine (np.ant) 
Kathmandu	Kathmandu (np.top) 
Kath (np) 	Kath (np.ant) 
Kathryn (np) 	Kathryn (np.ant) 
Katie (np) 	Katie (np.ant) 
Katy (np) 	Katy (np.ant) 
Kayden (np) 	Kayden (np.ant) 
Kayla (np) 	Kayla (np.ant) 
Kaylee (np) 	Kaylee (np.ant) 
Kayleigh (np) 	Kayleigh (np.ant) 
Kayley (np) 	Kayley (np.ant) 
Kazakhstan	Kazakhstan (np.top) 
Kazakstan	Kazakhstan (np.top) 
Keane (np) 	Keane (np.ant) 
Keegan (np) 	Keegan (np.ant) 
Keeley (np) 	Keeley (np.ant) 
Keigan (np) 	Keigan (np.ant) 
Keiran (np) 	Keiran (np.ant) 
Keira (np) 	Keira (np.ant) 
Keir (np) 	Keir (np.ant) 
Kelly (np) 	Kelly (np.ant) 
Kelly (np) 	Kelly (np.cog) 
Kelsey (np) 	Kelsey (np.ant) 
Kelsie (np) 	Kelsie (np.ant) 
Kelsi (np) 	Kelsi (np.ant) 
Kenya	Kenya (np.top) 
Kenzie (np) 	Kenzie (np.ant) 
Kerri (np) 	Kerri (np.ant) 
Kerr (np) 	Kerr (np.ant) 
Kerr (np) 	Kerr (np.cog) 
Kerry (np) 	Kerry (np.ant) 
Kerys (np) 	Kerys (np.ant) 
Kevin (np) 	Kevin (np.ant) 
Khan (np) 	Khan (np.cog) 
Khartoum	Khartoum (np.top) 
Kian (np) 	Kian (np.ant) 
Kiara (np) 	Kiara (np.ant) 
Kieran (np) 	Kieran (np.ant) 
Kiera (np) 	Kiera (np.ant) 
Kimberley (np) 	Kimberley (np.ant) 
Kimberly (np) 	Kimberly (np.ant) 
King (np) 	King (np.cog) 
Kira (np) 	Kira (np.ant) 
Kiribati	Kiribati (np.top) 
Kirsten (np) 	Kirsten (np.ant) 
Kirstin (np) 	Kirstin (np.ant) 
Kirsty (np) 	Kirsty (np.ant) 
Knight (np) 	Knight (np.cog) 
Kris (np) 	Kris (np.ant) 
Kristopher (np) 	Kristopher (np.ant) 
Kuwait	Kuwait (np.top) 
Kyla (np) 	Kyla (np.ant) 
Kyle (np) 	Kyle (np.ant) 
Kyrgyzstan	Kyrgyzstan (np.top) 
label	label (n) 
labelu	label (vblex) 
labordy	laboratory (n) 
labro	labour (vblex) 
Lachlan (np) 	Lachlan (np.ant) 
lafant	lavender (n) 
Laia (np) 	Laia (np.ant) 
Laila (np) 	Laila (np.ant) 
lambastio	lambast (vblex) 
lamineiddio	laminate (vblex) 
lamp	lamp (n) 
Lana (np) 	Lana (np.ant) 
Lanelwedd	Lanelwedd (np.top) 
lanlwythiad	upload (n) 
Lansdowne	Lansdowne (np.top) 
lansiad	launch (n) 
lansio	launch (vblex) 
Laos	Laos (np.top) 
lapio	wrap (vblex) 
Lara (np) 	Lara (np.ant) 
larwm	alarm (n) 
lasio	lash (vblex) 
Latfia	Latvia (np.top) 
Latvia	Latvia (np.top) 
Laura (np) 	Laura (np.ant) 
Laurence (np) 	Laurence (np.ant) 
Lauren (np) 	Lauren (np.ant) 
Laurie (np) 	Laurie (np.ant) 
Lauryn (np) 	Lauryn (np.ant) 
Lausanne	Lausanne (np.top) 
Law (np) 	Law (np.cog) 
Lawrence (np) 	Lawrence (np.ant) 
lawrlwythiad	download (n) 
Layla (np) 	Layla (np.ant) 
Leah (np) 	Leah (np.ant) 
ledio	lead (vblex) 
ledled	far_and_wide (adv) 
Lee (np) 	Lee (np.ant) 
lefeinio	leaven (vblex) 
lefel	level (n) 
lefelu	level (vblex) 
Leia (np) 	Leia (np.ant) 
leicio	like (vblex) 
Leigh (np) 	Leigh (np.ant) 
Leila (np) 	Leila (np.ant) 
leinio	lash (vblex) 
lein	line (n) 
lembyd	nowhere (adv) 
Lennon (np) 	Lennon (np.ant) 
Lennox (np) 	Lennox (np.ant) 
Leona (np) 	Leona (np.ant) 
Leonard (np) 	Leonard (np.ant) 
Leon (np) 	Leon (np.ant) 
Leo (np) 	Leo (np.ant) 
lercio	lurk (vblex) 
Lerpwl	Liverpool (np.top) 
lesio	lease (vblex) 
Lesotho	Lesotho (np.top) 
Leswtw	Lesotho (np.top) 
Letitia (np) 	Letitia (np.ant) 
Levi (np) 	Levi (np.ant) 
Lewis (np) 	Lewis (np.ant) 
Lewis (np) 	Lewis (np.cog) 
Lexie (np) 	Lexie (np.ant) 
Leyton (np) 	Leyton (np.ant) 
Liam (np) 	Liam (np.ant) 
Lia (np) 	Lia (np.ant) 
Libanus	Lebanon (np.top) 
Libby (np) 	Libby (np.ant) 
Liberia	Liberia (np.top) 
Libia	Libya (np.top) 
Libya	Libya (np.top) 
licio	like (vblex) 
Lídia (np) 	Lídia (np.ant) 
Liechtenstein	Liechtenstein (np.top) 
Lilly (np) 	Lilly (np.ant) 
Lily (np) 	Lily (np.ant) 
Linda (np) 	Linda (np.ant) 
lindys	caterpillar (n) 
Lisa (np) 	Lisa (np.ant) 
Lisbon	Lisbon (np.top) 
litani	litany (n) 
Lithuania	Lithuania (np.top) 
Lithwania	Lithuania (np.top) 
litr	litre (n) 
llabyddio	stone (vblex) 
llacáu	slacken (vblex) 
llachar	bright (adj.sint) 
llachio	lash (vblex) 
llacio	slacken (vblex) 
lladd#_ar	criticise (vblex) 
lladd	kill (vblex) 
lladin	Latin (adj) 
lladmerydd	exponent (n) 
lladrata	rob (vblex) 
lladroni	steal (vblex) 
llaes	loose (adj) 
llaesu	slacken (vblex) 
llaeth	milk (n) 
llaethu	lactate (vblex) 
llafarganu	chant (vblex) 
llafariad	vowel (n) 
llafar	speech (n) 
llafnu	shear (vblex) 
llafurio	labour (vblex) 
llafur	labour (n) 
llain#_glanio	landing_strip (n) 
llain	strip#_of_land (n) 
llais	voice (n) 
llaith	damp (adj) 
llam	leap (n) 
llamsachu	frisk (vblex) 
llamu	leap (vblex) 
llanast	mess (n) 
llanastr	mess (n) 
llanastru	mess#_up (vblex) 
Llanberis	Llanberis (np.top) 
llanc	young_man (n) 
Llandudno	Llandudno (np.top) 
Llanelli	Llanelli (np.top) 
Llanelwy	St_Asaph (np.top) 
llanerchu	clear#_land (vblex) 
Llanfairpwllgwyngyllgogerychwyrndobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndobwllllantysiliogogogoch (np.top) 
Llanfair-ym-Muallt	Llanfair-ym-Muallt (np.top) 
Llangollen	Llangollen (np.top) 
Llanrwst	Llanrwst (np.top) 
llanw	fill (vblex) 
llanw	incoming_tide (n) 
llarieiddio	moderate (vblex) 
llarpio	devour (vblex) 
llathen	yard (n) 
llathru	gleam (vblex) 
llath	yard (n) 
llawcio	gobble (vblex) 
llawdio	be#_in_heat (vblex) 
llawdriniaeth#_Gesaraidd	Caesarean_section (n) 
llawdriniaeth	operation (n) 
llawenhau	rejoice (vblex) 
llawen	merry (adj.sint) 
llawenychu	rejoice (vblex) 
llawenydd	gladness (n) 
llawer_iawn_o	very_many (det.qnt) 
llawer	many (adj) 
llawer_o	a_lot_of (det.qnt) 
llawfeddygol	surgical (adj) 
llawfeddyg	surgeon (n) 
llaw-fer	shorthand (n) 
llaw	hand (n) 
llawiadur	hand-held (n) 
llawiadur	palmtop (n) 
llawlyfr	handbook (n) 
llawn	full (adj.sint) 
llawnodi	brand (vblex) 
llawnwerth	par (n) 
llawr	floor (n) 
llawr	ground (n) 
llawysgrif	manuscript (n) 
lle (adv) 	where (adv.itg) 
llechfeddiannu	encroach#_upon (vblex) 
llechu	hide (vblex) 
llechweddu	slope (vblex) 
lledaenu	disseminate (vblex) 
lled	breadth (n) 
lleddfu	mitigate (vblex) 
lled	fairly (adj) 
lledferwi	simmer (vblex) 
lled-orwedd	recline (vblex) 
lledorwedd	recline (vblex) 
lledr	leather (n) 
lledu	spread (vblex) 
lled	width (n) 
lledwyro	distort (vblex) 
llefain	cry (vblex) 
llefaru	utter (vblex) 
llefarwr	speaker (n) 
llefarydd	speaker (n) 
lleferydd	speech (n) 
lleiafol	minimalist (adj) 
lleiafrif	minority (n) 
lleiafrifol	minority (adj) 
lleiafswm	minimum (n) 
lleibio	devour (vblex) 
lleied	small (adj.sint) 
lleihad	decrease (n) 
lleihau	diminish (vblex) 
lleinasio	fillet-weld (vblex) 
lleisio	voice (vblex) 
llemain	leap (vblex) 
llem	sharp (adj) 
llên	literature (n) 
llenora	be#_an_author (vblex) 
llenor	litterateur (n) 
llen	sheet (n) 
llenwi	fill (vblex) 
llenydda	be#_well-versed_in_literature (vblex) 
llenyddiaeth	literature (n.unc) 
llenyddoldeb	literariness (n) 
llenyddol	literary (adj) 
lleoliad	location (n) 
lleoli	locate (vblex) 
lleol	local (adj) 
lleolnod	caret (n) 
lleolydd	locator (n) 
lle	place (n) 
llercian	lurk (vblex) 
lles	benefit (n) 
llesgáu	enfeeble (vblex) 
llesgu	enfeeble (vblex) 
llesio	be#_advantageous (vblex) 
llesmeirio	swoon (vblex) 
llesol	advantageous (adj) 
llesteirio	hinder (vblex) 
llestrio	put#_into_a_vessel (vblex) 
llestru	put#_into_a_vessel (vblex) 
llesu	be#_advantageous (vblex) 
lletemu	rivet (vblex) 
Llethaw	Lithuania (np.top) 
llethol	oppressive (adj) 
llethr	slope (n) 
llethu	oppress (vblex) 
lletraws	diagonal (adj) 
lletraws	oblique (adj) 
lletya	lodge (vblex) 
llety	lodging (n) 
lleuad	moon (n) 
lleuadol	lunar (adj) 
lleuen	louse (n) 
llew	lion (n) 
llewychu	illuminate (vblex) 
llewygu	faint (vblex) 
llewyrch	radiance (n) 
llewyrchu	illuminate (vblex) 
llewyrchus	prosperous (adj) 
lleyg	lay (adj) 
lliain	linen (adj) 
lliain	linen (n) 
lliaws	host (n) 
llidio	provoke (vblex) 
llifanu	grind (vblex) 
llifeirio	stream (vblex) 
llif	flood (n) 
llif	flow (n) 
llifianu	grind (vblex) 
llifio	saw (vblex) 
llifo	dye (vblex) 
llifo	flow (vblex) 
llifoleuo	floodlight (vblex) 
llif	saw (n) 
llinborthiad	linefeed (n) 
llindagu	strangle (vblex) 
llinell	line (n) 
llinellu	delineate (vblex) 
lliniarol	soothing (adj) 
lliniaru	ease (vblex) 
llinol	linear (adj) 
llinynnu	string (vblex) 
llinyn	string (n) 
llipa	floppy (adj) 
llithio	nourish (vblex) 
llithro	slip (vblex) 
llithrydd	slider (n) 
lliw	colour (n) 
lliwgar	colourful (adj) 
lliwio	colour (vblex) 
lloches	asylum (n) 
lloches	refuge (n) 
llochesu	shelter (vblex) 
llochi	caress (vblex) 
llocio	pen (vblex) 
llodi	be#_in_heat (vblex) 
Lloegr	England (np.top) 
lloeren	satellite (n) 
lloesi	get#_rid_of (vblex) 
llofelu	stroke (vblex) 
lloffa	collect (vblex) 
llofft	bedroom (n) 
llofnodi	sign (vblex) 
llofnod	signature (n) 
llofnodwr	signer (n) 
llofruddio	murder (vblex) 
llogi	hire (vblex) 
llog	interest (n) 
llond	fullness (n) 
llong	ship (n) 
llongyfarch	congratulate (vblex) 
llongyfarchiad	congratulation (n) 
llon	merry (adj.sint) 
llonni	gladden (vblex) 
llonydd	still (adj.sint) 
llonyddu	pacify (vblex) 
Llorenç (np) 	Llorenç (np.ant) 
llori	cut#_down (vblex) 
llorio	floor (vblex) 
llorwedd	horizontal (n) 
llorweddol	horizontal (adj) 
llosgach	incest (n) 
llosg	burnt (adj) 
llosgfynydd	vulcanism (n) 
llosgi	burn (vblex) 
llowcio	gobble (vblex) 
Lloyd (np) 	Lloyd (np.cog) 
lluchedu	flash (vblex) 
lluchio	throw (vblex) 
Llúcia (np) 	Llúcia (np.ant) 
Lluc (np) 	Lluc (np.ant) 
lluddedu	tire (vblex) 
lluddio	hinder (vblex) 
lludw	ashes (n.unc) 
llueddu	mobilise (vblex) 
llu	host (n) 
Lluís (np) 	Lluís (np.ant) 
llumanu	flag (vblex) 
Lluna (np) 	Lluna (np.ant) 
Llundain	London (np.top) 
llungopi	photocopy (n) 
lluniad	drawing (n) 
lluniadu	portray (vblex) 
lluniaethu	arrange (vblex) 
llunio	form (vblex) 
llun	picture (n) 
llunydd	renderer (n) 
lluosi	multiply (vblex) 
lluosnomial	multinomial (n) 
lluosogaeth	pluralism (n) 
lluosogi	multiply (vblex) 
lluosogol	multiplicative (adj) 
lluosog	plural (adj) 
lluosol	multiple (adj) 
lluosrif	multiple (n) 
lluoswm	product (n) 
llurgunio	mutilate (vblex) 
llusa	gather#_bilberries (vblex) 
llusgadwy	draggable (adj) 
llusgo	drag (vblex) 
llutrodi	defile (vblex) 
lluwchio	drift (vblex) 
lluyddu	mobilise (vblex) 
llwch	dust (n) 
llwfrdra	cowardice (n) 
llwfrhau	lose#_heart (vblex) 
llwgr	bad (adj.sint) 
llwgr	corrupt (adj) 
llwgr	corruption (n) 
llwgrwobrwyo	bribe (vblex) 
llwgu	be#_starving (vblex) 
llwm	bare (adj.sint) 
llwyaid	spoonful (n) 
llwya	spoon (vblex) 
llwybreiddio	guide (vblex) 
llwybro	walk (vblex) 
llwybr	path (n) 
llwyddiannus	successful (adj) 
llwyddiant	success (n) 
llwyddo	succeed (vblex) 
llwydfelyn	beige (adj) 
llwyd	grey (adj.sint) 
llwydi	mildew (n) 
llwydion	grey (adj.sint) 
Llwydle	Ludlow (np.top) 
llwydnetig	greynetic (adj) 
Llwyd (np) 	Llwyd (np.cog) 
llwydo	become#_mouldy (vblex) 
llwydrewi	freeze (vblex) 
llwyfannaidd	stagey (adj) 
llwyfannol	stage (adj) 
llwyfannu	stage (vblex) 
llwyfan	stage (n) 
llwyn	bush (n) 
llwynog	fox (n) 
llwynwst	lumbago (n) 
llwyr	complete (adj) 
llwyrlanhau	clean#_thoroughly (vblex) 
llwyrymatal	abstain#_totally (vblex) 
llwyrymwrthod	abstain#_totally (vblex) 
llwy	spoon (n) 
llwythedig	loaded (adj) 
llwyth_llong (n.GD) 	freight (n) 
llwyth	load (n) 
llwythog	loaded (adj) 
llwytho	load (vblex) 
llwyth	tribe (n) 
llwythydd	loader (n) 
llychwino	stain (vblex) 
llydan	broad (adj.sint) 
llydan	wide (adj.sint) 
Llydaw	Brittany (np.top) 
Llydaweg	Breton (adj) 
llydnu	lamb (vblex) 
llyffetheirio	fetter (vblex) 
llyfnhau	level (vblex) 
llyfn	smooth (adj.sint) 
llyfnu	harrow (vblex) 
llyfr	book (n) 
llyfrgell	library (n) 
llyfrgellwr	librarian (n) 
llyfrgellyddiaeth	library_science (n) 
llyfrgellydd	librarian (n) 
llyfrïo	tear#_to_bits (vblex) 
llyfru	book (vblex) 
llyfrwerthu	sell#_books (vblex) 
llyfrwerthwr	bookseller (n) 
llyfryddiaeth	bibliography (n) 
llyfryddol	bibliographic (adj) 
llyfryn	booklet (n) 
llyfu	lick (vblex) 
llygad-dynnu	fascinate (vblex) 
llygad-dyst	eye-witness (n) 
llygad	eye (n) 
llygadrythu	stare (vblex) 
llygadu	eye (vblex) 
llygoden	mouse (n) 
llygota	catch#_mice (vblex) 
llygredd	pollution (n) 
llygredig	polluted (adj) 
llygrio	corrupt (vblex) 
llygru	corrupt (vblex) 
llymder	severity (n) 
llymder	sharpness (n) 
llymeidio	sip (vblex) 
llymeitian	sip (vblex) 
llymeitio	sip (vblex) 
llymhau	sharpen (vblex) 
llym	sharp (adj) 
llyncu	swallow (vblex) 
llynedd	last_year (adv) 
llyn	lake (n) 
llyo	lick (vblex) 
llys	court (n) 
llys-daid	step-grandfather (n) 
llysenwi	nickname (vblex) 
llysieueg	botany (n) 
llysieuyn	vegetable (n) 
llysnafedd	slime (n) 
llys-nain	step-grandmother (n) 
llys-riant	step-parent (n) 
llystyfiant	vegetation (n) 
llysywen	eel (n) 
llythrdy	post_office (n) 
llythrennedd	literacy (n) 
llythrennol	literally (adj) 
llythrennu	form#_letters (vblex) 
llythrenw	acronym (n) 
llythyra	correspond (vblex) 
llythyren	letter (n) 
llythyr	letter (n) 
llythyru	correspond (vblex) 
llyu	lick (vblex) 
llywio	steer (vblex) 
llywiwr	navigator (n) 
Llywodraeth_Cynulliad_Cymru (np.org) 	Welsh_Assembly_Government (np.org) 
llywodraeth	government (n) 
llywodraethol	governing (adj) 
llywodraethu	govern (vblex) 
llywodraethwr	governor (n) 
Llywodraeth_y_Cynulliad (np.org) 	Assembly_Government (np.org) 
llywyddiaeth	presidency (n) 
llywydd	president (n) 
llywyddu	preside (vblex) 
lobïo	lobby (vblex) 
Lochlan (np) 	Lochlan (np.ant) 
locws	locus (n) 
loetran	loiter (vblex) 
Logan (np) 	Logan (np.ant) 
logarithmig	logarithmic (adj) 
logarithm	logarithm (n) 
logistaidd	logistic (adj) 
logo	logo (n) 
Lois (np) 	Lois (np.ant) 
Lola (np) 	Lola (np.ant) 
lolian	lounge (vblex) 
loncian	jog (vblex) 
lordio	lord#_it (vblex) 
Lorena (np) 	Lorena (np.ant) 
Lori (np) 	Lori (np.ant) 
losen	sweet (n) 
loteri	lottery (n) 
lot_o	a_lot_of (det.qnt) 
lotri	lottery (n) 
Louisa (np) 	Louisa (np.ant) 
Louise (np) 	Louise (np.ant) 
Louis (np) 	Louis (np.ant) 
Luanda	Luanda (np.top) 
Luca (np) 	Luca (np.ant) 
Lucas (np) 	Lucas (np.ant) 
Lucia (np) 	Lucia (np.ant) 
Lucie (np) 	Lucie (np.ant) 
Lucy (np) 	Lucy (np.ant) 
Luke (np) 	Luke (np.ant) 
Luxembourg	Luxembourg (np.top) 
lwc	luck (n.unc) 
Lwcsembwrg	Luxembourg (np.top) 
lwcus	lucky (adj.sint) 
lwfans	allowance (n) 
mab	son (n) 
mabwysiad	adoption (n) 
mabwysiadol	adoptive (adj) 
mabwysiadu	adopt (vblex) 
mabwysiedig	adopted (adj) 
Macau	Macau (np.top) 
Macâw	Macau (np.top) 
Macdonald (np) 	Macdonald (np.cog) 
Macedonia	Macedonia (np.top) 
machlud	set (vblex) 
Machreth (np) 	Machreth (np.cog) 
Machynlleth	Machynlleth (np.top) 
Mackay (np) 	Mackay (np.cog) 
Mackenzie (np) 	Mackenzie (np.ant) 
Mackenzie (np) 	Mackenzie (np.cog) 
Macleod (np) 	Macleod (np.cog) 
MacLeod (np) 	MacLeod (np.cog) 
macsu	brew (vblex) 
Macy (np) 	Macy (np.ant) 
Madagascar	Madagascar (np.top) 
Madagasgar	Madagascar (np.top) 
maddau	forgive (vblex) 
Maddison (np) 	Maddison (np.ant) 
Madeleine (np) 	Madeleine (np.ant) 
Madeline (np) 	Madeline (np.ant) 
Madison (np) 	Madison (np.ant) 
Madrid	Madrid (np.top) 
madrigal	madrigal (n) 
madruddyn	cartilage (n) 
madru	fester (vblex) 
maeddu	conquer (vblex) 
maelio	profit (vblex) 
maeneiddio	petrify (vblex) 
maen#_prawf	milestone (n) 
maen	stone (n) 
maentumio	sustain (vblex) 
maer	mayor (n) 
maes#_awyr	airfield (n) 
maes	field (n) 
Maesteg	Maesteg (np.top) 
maesu	field (vblex) 
Maesyfed	Radnor (np.top) 
maethlon	nutritious (adj) 
maeth	nourishment (n) 
maethu	rear (vblex) 
Magdalena (np) 	Magdalena (np.ant) 
magenta	magenta (adj) 
maglu	snare (vblex) 
magneteg	magnetism (n) 
magneteiddio	magnetise (vblex) 
magnetig	magnetic (adj) 
Magnus (np) 	Magnus (np.ant) 
magu	rear (vblex) 
magwyro	wall (vblex) 
magwyr	wall (n) 
Maia (np) 	Maia (np.ant) 
Mai	May (n) 
maintioli	stature (n) 
maint	size (n) 
Mairi (np) 	Mairi (np.ant) 
Maisie (np) 	Maisie (np.ant) 
mai	that (cnjsub) 
Malawi	Malawi (np.top) 
Malaŵi	Malawi (np.top) 
Malaysia	Malaysia (np.top) 
Maldives	Maldives (np.top) 
maldodi	pamper (vblex) 
Maleisia	Malaysia (np.top) 
Mâli	Mali (np.top) 
Malin (np) 	Malin (np.ant) 
mall	corrupt (adj) 
Malltraeth	Malltraeth (np.top) 
Malta	Malta (np.top) 
malu	grind (vblex) 
malurio	break#_into_fragments (vblex) 
mamiaith	mother-tongue (n) 
mam	mother (n) 
mamogi	mother (vblex) 
mamolaeth	maternity (n) 
Manceinion	Manchester (np.top) 
Manchester	Manceinion (np.top) 
mandadu	mandate (vblex) 
Manel (np) 	Manel (np.ant) 
mân	fine (adj.sint) 
manna	manna (n) 
man	place (n) 
mantais	advantage (n) 
manteisio#_ar	take#_advantage_of (vblex) 
manteisio	benefit (vblex) 
manteisiol	advantageous (adj) 
mantellu	cloak (vblex) 
mantol	balance (n) 
mantolen	balance-sheet (n) 
mantoli	balance (vblex) 
manwerth	retail (adj) 
mân-werthu	retail (vblex) 
manwerthwr	retailer (n) 
manwl	detailed (adj) 
manylder	detail (n) 
manyleb	specification (n) 
manylu	detail (vblex) 
manylyn	detail (n) 
Maoaeth	Maoism (n) 
mapiad	mapping (n) 
mapiedig	mapped (adj) 
mapiwr	mapper (n) 
map	map (n) 
marchio	be#_in_heat (vblex) 
marchnad	market (n) 
marchnad-ymwybodol	market-conscious (adj) 
marchnata	trade (vblex) 
marchnerth	horsepower (n) 
marchocáu	ride (vblex) 
marchogaeth#_ar	ride (vblex) 
marchogaeth	horsemanship (n) 
marchogaeth	ride (vblex) 
marcio	mark (vblex) 
marciwr	marker (n) 
marc	mark (n) 
Marc (np) 	Marc (np.ant) 
Marco (np) 	Marco (np.ant) 
Marcsiaeth	Marxism (n) 
Marcus (np) 	Marcus (np.ant) 
Margalida (np) 	Margalida (np.ant) 
Margarete (np) 	Margarete (np.ant) 
Margaret (np) 	Margaret (np.ant) 
Margarida (np) 	Margarida (np.ant) 
margarîn	margarine (n) 
Margery (np) 	Margery (np.ant) 
Margry (np) 	Margry (np.ant) 
Maria_Antònia (np) 	Maria_Antònia (np.ant) 
Maria_del_Carme (np) 	Maria_del_Carme (np.ant) 
Maria_del_Mar (np) 	Maria_del_Mar (np.ant) 
Maria_Magdalena (np) 	Maria_Magdalena (np.ant) 
marian	moraine (n) 
Marian (np) 	Marian (np.ant) 
Maria (np) 	Maria (np.ant) 
Marie (np) 	Marie (np.ant) 
Marina (np) 	Marina (np.ant) 
Mariona (np) 	Mariona (np.ant) 
Marion (np) 	Marion (np.ant) 
Mario (np) 	Mario (np.ant) 
Mark (np) 	Mark (np.ant) 
Marley (np) 	Marley (np.ant) 
marmor	marble (n) 
Marseille	Marseilles (np.top) 
Marshall (np) 	Marshall (np.cog) 
marsiandïaeth	merchandise (n) 
marsiandïol	commercial (adj) 
marsiandïwr	trader (n) 
Marta (np) 	Marta (np.ant) 
Martha (np) 	Martha (np.ant) 
Martina (np) 	Martina (np.ant) 
Martin (np) 	Martin (np.ant) 
Martin (np) 	Martin (np.cog) 
Martí (np) 	Martí (np.ant) 
martsio	march (vblex) 
marw	dead (adj) 
marweiddio	mortify (vblex) 
marwhau	mortify (vblex) 
marwnadu	mourn (vblex) 
marwolaeth	death (n) 
marwoldeb	mortality (n) 
marwol	fatal (adj) 
Maryam (np) 	Maryam (np.ant) 
Mary (np) 	Mary (np.ant) 
masgio	mask (vblex) 
masglu	shell (vblex) 
masg	mask (n) 
màs	mass (n) 
masnach	commerce (n) 
masnachfraint	franchise (n) 
masnachol	commercial (adj) 
masnachol-ei-sail	on_a_commercial_basis (adv) 
masnachol-sensitif	commercially_sensitive (adj) 
masnachu	trade (vblex) 
Mason (np) 	Mason (np.ant) 
Mason (np) 	Mason (np.cog) 
mater	affair (n) 
mater	matter (n) 
materoliaeth	materialism (n) 
materol	material (adj) 
mathemateg	mathematics (n) 
mathemategol	mathematical (adj) 
Mathew (np) 	Mathew (np.ant) 
mathru	trample#_on (vblex) 
math	type (n) 
Mathye (np) 	Mathye (np.ant) 
Matilda (np) 	Matilda (np.ant) 
matriciwleiddio	matriculate (vblex) 
matrics	matrix (n) 
Matthew (np) 	Matthew (np.ant) 
Matthews (np) 	Matthews (np.cog) 
Maude (np) 	Maude (np.ant) 
Maud (np) 	Maud (np.ant) 
Maurice (np) 	Maurice (np.ant) 
Mauritania	Mauritania (np.top) 
Mauritius	Mauritius (np.top) 
mawr	big (adj.sint) 
mawredd	greatness (n) 
Mawretania	Mauritania (np.top) 
mawrfrydigrwydd	magnanimity (n) 
mawrhau	enlarge (vblex) 
mawrion	great (adj.sint) 
Mawrisiws	Mauritius (np.top) 
Mawritania	Mauritania (np.top) 
Mawrth	March (n) 
Mawrth	Mars (np.top) 
mawrygu	glorify (vblex) 
Max (np) 	Max (np.ant) 
Maxwell (np) 	Maxwell (np.ant) 
Maya (np) 	Maya (np.ant) 
McDonald (np) 	McDonald (np.cog) 
McKenzie (np) 	McKenzie (np.ant) 
McLean (np) 	McLean (np.cog) 
mecaneg	mechanics (n) 
mecaneiddio	mechanise (vblex) 
mecanwaith	mechanism (n) 
mecanyddol	mechanical (adj) 
Mecsico	Mexico (np.top) 
meddalhau	soften (vblex) 
meddal	soft (adj.sint) 
meddalu	soften (vblex) 
meddalwch	softness (n) 
meddalwedd	software (n) 
meddiannol	possessive (adj) 
meddiannu	possess (vblex) 
meddiant	possession (n) 
medd	mead (n) 
medd	say (vblex) 
meddu#_ar	own (vblex) 
meddu	possess (vblex) 
meddwdod	drunkenness (n) 
meddwdod	intoxication (n) 
meddwi	get#_drunk (vblex) 
meddwl#_am	think#_about (vblex) 
meddwl	think (vblex) 
meddwl	thought (n) 
meddygaeth	medicine (n) 
meddyg	doctor (n) 
meddygfa	surgery (n) 
meddyginiaeth	medicine (n) 
meddyginiaethu	treat (vblex) 
meddygol	medical (adj) 
meddylfryd	state#_of_mind (n) 
meddyliol	mental (adj) 
medi	reap (vblex) 
Medi	September (n) 
medr	skill (n) 
medru	be_able_to (vbmod) 
medrus	skilful (adj) 
meflu	disgrace (vblex) 
megabeit	megabyte (n) 
Megan (np) 	Megan (np.ant) 
Meghan (np) 	Meghan (np.ant) 
megina	use#_bellows (vblex) 
megis	just_as (cnjsub) 
megis	like (pr) 
Mehefin	June (n) 
Meic (np) 	Meic (np.ant) 
Meicronesia	Federated_States_of_Micronesia (np.top) 
meiddio	dare (vblex) 
meidraidd	finite (adj) 
meidryddu	gauge (vblex) 
meillion	clover (n) 
meillionen	clover (n) 
meil	msec (n) 
